Docket_Number,Violation_Number,Issued_Date,Issuing_Department,Last_Hearing_Date,Property_Address,Violation_Type,EntityorPerson(s),Disposition_Description
18CP020582,P005607647,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607648,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607649,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607668,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607669,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607670,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP019232,P005593517,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593518,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593519,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593529,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593530,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593531,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP018407,P005545538,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545539,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545540,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545541,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545542,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545543,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP020741,P005468228,2/13/2018,POLICE,4/6/2018 1:00,4448 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP020741,P005468229,2/13/2018,POLICE,4/6/2018 1:00,4448 W VAN BUREN ,13-12-140  Watchman required,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP020749,P005468285,2/13/2018,POLICE,4/6/2018 1:00,913 N HOMAN ,13-12-125  Duty to secure and maintain vacant building.,"CHASE HOME FINANCE LLC, ",City non-suit
18CP020749,P005468286,2/13/2018,POLICE,4/6/2018 1:00,913 N HOMAN ,13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit
18CP020591,P005561601,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020591,P005561602,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-140  Watchman required,"US BANK N A, ",City non-suit
18CP020591,P005561603,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020591,P005561604,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-140  Watchman required,"US BANK N A, ",City non-suit
18CP020591,P005561605,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020591,P005561606,2/7/2018,POLICE,4/6/2018 9:00,849 W 51PL ,13-12-140  Watchman required,"US BANK N A, ",City non-suit
18CP020581,P005607617,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP020581,P005607618,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP020581,P005607619,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP020581,P005607620,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP020581,P005607621,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP020581,P005607622,2/4/2018,POLICE,4/6/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP020723,P005607611,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607611,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607612,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607612,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607613,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607613,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607614,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607614,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607615,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607615,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607616,2/4/2018,POLICE,4/6/2018 9:00,5734 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020723,P005607616,2/4/2018,POLICE,4/6/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP020726,P005603225,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP020726,P005603226,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP020726,P005603227,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP020726,P005603228,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP020726,P005603229,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP020726,P005603230,2/4/2018,POLICE,4/6/2018 9:00,3311 W 61ST PL ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP020330,P005561565,2/2/2018,POLICE,4/6/2018 9:00,5223 S EMERALD ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020330,P005561566,2/2/2018,POLICE,4/6/2018 9:00,5223 S EMERALD ,13-12-140  Watchman required,"US BANK N A, ",City non-suit
18CP020330,P005561567,2/2/2018,POLICE,4/6/2018 9:00,5223 S EMERALD ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020330,P005561569,2/2/2018,POLICE,4/6/2018 9:00,5223 S EMERALD ,13-12-125  Duty to secure and maintain vacant building.,"US BANK N A, ",City non-suit
18CP020330,P005561570,2/2/2018,POLICE,4/6/2018 9:00,5223 S EMERALD ,13-12-140  Watchman required,"US BANK N A, ",City non-suit
18CP018435,P005386684,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP018435,P005386685,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP018435,P005386686,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP018435,P005386687,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP018435,P005386688,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP018435,P005386689,2/1/2018,POLICE,4/6/2018 9:00,713 W 59TH ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP020769,P005597396,1/31/2018,POLICE,4/6/2018 1:00,6440 S HOYNE ,13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit
18CP020769,P005597397,1/31/2018,POLICE,4/6/2018 1:00,6440 S HOYNE ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK NA, ",City non-suit
18CP020769,P005597398,1/31/2018,POLICE,4/6/2018 1:00,6440 S HOYNE ,13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit
18CP020769,P005597935,1/31/2018,POLICE,4/6/2018 1:00,6440 S HOYNE ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK NA, ",City non-suit
18CP010600,P005386366,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP010600,P005386367,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP010600,P005386368,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP010600,P005386369,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP010600,P005386394,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP010600,P005386395,1/28/2018,POLICE,4/6/2018 9:00,5953 S BISHOP ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP010602,P005386382,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-140  Watchman required,"MARQUETTE BANK, ",City non-suit
18CP010602,P005386383,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-125  Duty to secure and maintain vacant building.,"MARQUETTE BANK, ",City non-suit
18CP010602,P005386384,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-140  Watchman required,"MARQUETTE BANK, ",City non-suit
18CP010602,P005386385,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-125  Duty to secure and maintain vacant building.,"MARQUETTE BANK, ",City non-suit
18CP010602,P005386386,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-125  Duty to secure and maintain vacant building.,"MARQUETTE BANK, ",City non-suit
18CP010602,P005386387,1/28/2018,POLICE,4/6/2018 9:00,1856 W 63RD ,13-12-140  Watchman required,"MARQUETTE BANK, ",City non-suit
18CP010788,P005597432,1/23/2018,POLICE,3/2/2018 1:00,4448 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP010788,P005597433,1/23/2018,POLICE,3/2/2018 1:00,4448 W VAN BUREN ,13-12-140  Watchman required,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP010788,P005597434,1/23/2018,POLICE,3/2/2018 1:00,4448 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP010788,P005597435,1/23/2018,POLICE,3/2/2018 1:00,4448 W VAN BUREN ,13-12-140  Watchman required,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP015581,P005319243,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015581,P005319244,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015581,P005319245,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015581,P005319246,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015581,P005319247,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015581,P005319248,1/22/2018,POLICE,4/6/2018 9:00,4403 S MOZART ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP010761,P005201343,1/21/2018,POLICE,3/2/2018 1:00,913 N HOMAN ,13-12-125  Duty to secure and maintain vacant building.,"CHASE HOME FINANCE, ",City non-suit
18CP010761,P005201344,1/21/2018,POLICE,3/2/2018 1:00,913 N HOMAN ,13-12-140  Watchman required,"CHASE HOME FINANCE, ",City non-suit
18CP010764,P005468277,1/21/2018,POLICE,3/2/2018 1:00,902 N TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP010764,P005468278,1/21/2018,POLICE,3/2/2018 1:00,902 N TRUMBULL ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP010588,P005597923,1/19/2018,POLICE,3/2/2018 1:00,5629 S LAFLIN ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP010588,P005597924,1/19/2018,POLICE,3/2/2018 1:00,5629 S LAFLIN ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP010588,P005597925,1/19/2018,POLICE,3/2/2018 1:00,5629 S LAFLIN ,13-12-125  Duty to secure and maintain vacant building.,"BANK OF AMERICA, ",City non-suit
18CP010588,P005597926,1/19/2018,POLICE,3/2/2018 1:00,5629 S LAFLIN ,13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit
18CP015573,P005319234,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP015573,P005319235,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP015573,P005319236,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP015573,P005319237,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP015573,P005319238,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP015573,P005319239,1/18/2018,POLICE,4/6/2018 9:00,1436 W 50TH ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP007811,P005387199,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP007811,P005387200,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP007811,P005387201,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP007811,P005387202,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP007811,P005387203,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP007811,P005387204,1/16/2018,POLICE,3/2/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING AND URBAN DEVELOPMENT, ",City non-suit
18CP011283,P005597334,1/16/2018,POLICE,3/2/2018 1:00,449 W 61ST ,13-12-125  Duty to secure and maintain vacant building.,"NORTH STAR TRUST COMPANY, ",City non-suit
18CP011283,P005597335,1/16/2018,POLICE,3/2/2018 1:00,449 W 61ST ,13-12-140  Watchman required,"NORTH STAR TRUST COMPANY, ",City non-suit
18CP011283,P005597486,1/16/2018,POLICE,3/2/2018 1:00,449 W 61ST ,13-12-125  Duty to secure and maintain vacant building.,"NORTH STAR TRUST COMPANY, ",City non-suit
18CP011283,P005597487,1/16/2018,POLICE,3/2/2018 1:00,449 W 61ST ,13-12-140  Watchman required,"NORTH STAR TRUST COMPANY, ",City non-suit
18CP015565,P005229332,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015565,P005229333,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015565,P005229334,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015565,P005229335,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015565,P005319151,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP015565,P005319152,1/15/2018,POLICE,4/6/2018 9:00,5022 S ELIZABETH ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP011072,P005321045,1/11/2018,POLICE,4/6/2018 9:00,5400 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321045,1/11/2018,POLICE,4/6/2018 9:00,5410 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321046,1/11/2018,POLICE,4/6/2018 9:00,5400 S SHIELDS ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321046,1/11/2018,POLICE,4/6/2018 9:00,5410 S SHIELDS ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321047,1/11/2018,POLICE,4/6/2018 9:00,5400 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321047,1/11/2018,POLICE,4/6/2018 9:00,5410 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321048,1/11/2018,POLICE,4/6/2018 9:00,5400 S SHIELDS ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321048,1/11/2018,POLICE,4/6/2018 9:00,5410 S SHIELDS ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321049,1/11/2018,POLICE,4/6/2018 9:00,5400 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011072,P005321049,1/11/2018,POLICE,4/6/2018 9:00,5410 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",Respondent's motion to continue granted
18CP011250,P005598006,1/11/2018,POLICE,3/2/2018 1:00,1870 S KEDZIE ,13-12-125  Duty to secure and maintain vacant building.,"HSBC BANK, ",Default - Liable by prove-up
18CP011250,P005598007,1/11/2018,POLICE,3/2/2018 1:00,1870 S KEDZIE ,13-12-140  Watchman required,"HSBC BANK, ",Default - Liable by prove-up
18CP011767,P005603291,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011767,P005603292,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011767,P005603293,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011767,P005603294,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011767,P005603295,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011767,P005603296,1/11/2018,POLICE,3/2/2018 9:00,6211 S ARTESIAN ,13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit
18CP011775,P005603276,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP011775,P005603277,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP011775,P005603278,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP011775,P005606453,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP011775,P005606454,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit
18CP011775,P005606455,1/11/2018,POLICE,3/2/2018 9:00,5743 S MELVINA ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit
18CP011777,P005603285,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011777,P005603286,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011777,P005603287,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011777,P005603288,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011777,P005603289,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011777,P005606425,1/11/2018,POLICE,3/2/2018 9:00,3544 W 62ND ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606460,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606461,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606462,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606463,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606464,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE INC, ",City non-suit
18CP011778,P005606465,1/11/2018,POLICE,3/2/2018 9:00,3311 W 61ST ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit
18CP011779,P005603306,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011779,P005603307,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011779,P005603308,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011779,P005603309,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011779,P005603310,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011779,P005603311,1/11/2018,POLICE,3/2/2018 9:00,6111 S KEELER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Default - Liable by prove-up
18CP011783,P005603231,1/11/2018,POLICE,3/2/2018 9:00,6510 S OAKLEY ,13-12-140  Watchman required,"PNC MORTGAGE, ",City non-suit
